Location,Date,Stay_Home_Order,Status_of_Reopening,NonEss_Business_Closed,Gathering_Limit,Emergency_Declaration,Travel_Quarantine,Restaurants,School_Closed,Mask_Requirement
Nevada,2020-03-26,0,NA,5,5,1,NA,3,2,NA
New Hampshire,2020-03-26,0,NA,0,5,1,NA,3,2,NA
New Jersey,2020-03-26,5,NA,4,7,1,NA,3,2,NA
New Mexico,2020-03-26,0,NA,5,7,1,NA,2,2,NA
New York,2020-03-26,2,NA,5,7,1,NA,3,2,NA
North Carolina,2020-03-26,0,NA,0,2,1,NA,3,2,NA
North Dakota,2020-03-26,0,NA,0,0,1,NA,3,2,NA
Ohio,2020-03-26,5,NA,5,7,1,NA,3,2,NA
Oklahoma,2020-03-26,2,NA,0,5,1,NA,NA,2,NA
Oregon,2020-03-26,5,NA,4,7,1,NA,3,2,NA
Pennsylvania,2020-03-26,NA,NA,5,0,1,NA,3,2,NA
Rhode Island,2020-03-26,NA,NA,0,5,1,NA,3,2,NA
South Carolina,2020-03-26,0,NA,0,2,1,NA,3,2,NA
South Dakota,2020-03-26,0,NA,0,5,1,NA,0,2,NA
Tennessee,2020-03-26,0,NA,0,5,1,NA,3,2,NA
Texas,2020-03-26,NA,NA,0,5,1,NA,3,2,NA
Utah,2020-03-26,0,NA,0,0,1,NA,3,2,NA
Vermont,2020-03-26,5,NA,5,5,1,NA,3,2,NA
Virginia,2020-03-26,0,NA,0,5,1,NA,3,2,NA
Washington,2020-03-26,5,NA,5,7,1,NA,3,2,NA
West Virginia,2020-03-26,5,NA,5,7,1,NA,3,2,NA
Wisconsin,2020-03-26,5,NA,5,7,1,NA,3,2,NA
Wyoming,2020-03-26,0,NA,0,5,1,NA,3,2,NA
Alabama,2020-03-27,0,NA,0,3,1,NA,3,2,NA
Alaska,2020-03-27,2,NA,0,5,1,NA,3,2,NA
Arizona,2020-03-27,0,NA,0,0,1,NA,3,2,NA
Arkansas,2020-03-27,0,NA,0,5,1,NA,3,2,NA
California,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Colorado,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Connecticut,2020-03-27,0,NA,5,0,1,NA,3,2,NA
Delaware,2020-03-27,5,NA,5,2,1,NA,3,2,NA
District of Columbia,2020-03-27,0,NA,5,5,1,NA,3,2,NA
Florida,2020-03-27,NA,NA,0,0,1,NA,3,2,NA
Georgia,2020-03-27,2,NA,0,0,1,NA,2,2,NA
Hawaii,2020-03-27,5,NA,5,5,1,NA,3,2,NA
Idaho,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Illinois,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Indiana,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Iowa,2020-03-27,0,NA,0,5,1,NA,3,NA,NA
Kansas,2020-03-27,NA,NA,0,5,1,NA,2,2,NA
Kentucky,2020-03-27,0,NA,4,0,1,NA,3,2,NA
Louisiana,2020-03-27,5,NA,0,5,1,NA,3,2,NA
Maine,2020-03-27,0,NA,5,5,1,NA,3,NA,NA
Maryland,2020-03-27,0,NA,5,5,1,NA,3,2,NA
Massachusetts,2020-03-27,0,NA,5,5,1,NA,3,2,NA
Michigan,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Minnesota,2020-03-27,5,NA,0,0,1,NA,3,2,NA
Mississippi,2020-03-27,0,NA,0,5,1,NA,2,2,NA
Missouri,2020-03-27,0,NA,0,5,1,NA,3,2,NA
Montana,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Nebraska,2020-03-27,0,NA,0,0,1,NA,NA,0,NA
Nevada,2020-03-27,0,NA,5,5,1,NA,3,2,NA
New Hampshire,2020-03-27,5,NA,5,5,1,NA,3,2,NA
New Jersey,2020-03-27,5,NA,4,7,1,NA,3,2,NA
New Mexico,2020-03-27,0,NA,5,7,1,NA,2,2,NA
New York,2020-03-27,2,NA,5,7,1,NA,3,2,NA
North Carolina,2020-03-27,5,NA,5,5,1,NA,3,2,NA
North Dakota,2020-03-27,0,NA,0,0,1,NA,3,2,NA
Ohio,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Oklahoma,2020-03-27,2,NA,0,5,1,NA,NA,2,NA
Oregon,2020-03-27,5,NA,4,7,1,NA,3,2,NA
Pennsylvania,2020-03-27,NA,NA,5,0,1,NA,3,2,NA
Rhode Island,2020-03-27,NA,NA,0,5,1,NA,3,2,NA
South Carolina,2020-03-27,0,NA,0,2,1,NA,3,2,NA
South Dakota,2020-03-27,0,NA,0,5,1,NA,0,2,NA
Tennessee,2020-03-27,0,NA,0,5,1,NA,3,2,NA
Texas,2020-03-27,NA,NA,0,5,1,NA,3,2,NA
Utah,2020-03-27,0,NA,0,0,1,NA,3,2,NA
Vermont,2020-03-27,5,NA,5,5,1,NA,3,2,NA
Virginia,2020-03-27,0,NA,0,5,1,NA,3,2,NA
Washington,2020-03-27,5,NA,5,7,1,NA,3,2,NA
West Virginia,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Wisconsin,2020-03-27,5,NA,5,7,1,NA,3,2,NA
Wyoming,2020-03-27,0,NA,0,5,1,NA,3,2,NA
Alabama,2020-03-28,0,NA,0,3,1,NA,3,2,NA
Alaska,2020-03-28,2,NA,0,5,1,NA,3,2,NA
Arizona,2020-03-28,0,NA,0,0,1,NA,3,2,NA
Arkansas,2020-03-28,0,NA,0,5,1,NA,3,2,NA
California,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Colorado,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Connecticut,2020-03-28,0,NA,5,0,1,NA,3,2,NA
Delaware,2020-03-28,5,NA,5,2,1,NA,3,2,NA
District of Columbia,2020-03-28,0,NA,5,5,1,NA,3,2,NA
Florida,2020-03-28,NA,NA,0,0,1,NA,3,2,NA
Georgia,2020-03-28,2,NA,0,0,1,NA,2,2,NA
Hawaii,2020-03-28,5,NA,5,5,1,NA,3,2,NA
Idaho,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Illinois,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Indiana,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Iowa,2020-03-28,0,NA,0,5,1,NA,3,NA,NA
Kansas,2020-03-28,NA,NA,0,5,1,NA,2,2,NA
Kentucky,2020-03-28,0,NA,4,0,1,NA,3,2,NA
Louisiana,2020-03-28,5,NA,0,5,1,NA,3,2,NA
Maine,2020-03-28,0,NA,5,5,1,NA,3,NA,NA
Maryland,2020-03-28,0,NA,5,5,1,NA,3,2,NA
Massachusetts,2020-03-28,0,NA,5,5,1,NA,3,2,NA
Michigan,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Minnesota,2020-03-28,5,NA,0,0,1,NA,3,2,NA
Mississippi,2020-03-28,0,NA,0,5,1,NA,2,2,NA
Missouri,2020-03-28,0,NA,0,5,1,NA,3,2,NA
Montana,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Nebraska,2020-03-28,0,NA,0,0,1,NA,NA,0,NA
Nevada,2020-03-28,0,NA,5,5,1,NA,3,2,NA
New Hampshire,2020-03-28,5,NA,5,5,1,NA,3,2,NA
New Jersey,2020-03-28,5,NA,4,7,1,NA,3,2,NA
New Mexico,2020-03-28,0,NA,5,7,1,NA,2,2,NA
New York,2020-03-28,2,NA,5,7,1,NA,3,2,NA
North Carolina,2020-03-28,5,NA,5,5,1,NA,3,2,NA
North Dakota,2020-03-28,0,NA,0,0,1,NA,3,2,NA
Ohio,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Oklahoma,2020-03-28,2,NA,0,5,1,NA,NA,2,NA
Oregon,2020-03-28,5,NA,4,7,1,NA,3,2,NA
Pennsylvania,2020-03-28,NA,NA,5,0,1,NA,3,2,NA
Rhode Island,2020-03-28,NA,NA,0,5,1,NA,3,2,NA
South Carolina,2020-03-28,0,NA,0,2,1,NA,3,2,NA
South Dakota,2020-03-28,0,NA,0,5,1,NA,0,2,NA
Tennessee,2020-03-28,0,NA,0,5,1,NA,3,2,NA
Texas,2020-03-28,NA,NA,0,5,1,NA,3,2,NA
Utah,2020-03-28,0,NA,0,0,1,NA,3,2,NA
Vermont,2020-03-28,5,NA,5,5,1,NA,3,2,NA
Virginia,2020-03-28,0,NA,0,5,1,NA,3,2,NA
Washington,2020-03-28,5,NA,5,7,1,NA,3,2,NA
West Virginia,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Wisconsin,2020-03-28,5,NA,5,7,1,NA,3,2,NA
Wyoming,2020-03-28,0,NA,0,5,1,NA,3,2,NA
Alabama,2020-03-29,0,NA,0,3,1,NA,3,2,NA
Alaska,2020-03-29,2,NA,0,5,1,NA,3,2,NA
Arizona,2020-03-29,0,NA,0,0,1,NA,3,2,NA
Arkansas,2020-03-29,0,NA,0,5,1,NA,3,2,NA
California,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Colorado,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Connecticut,2020-03-29,0,NA,5,0,1,NA,3,2,NA
Delaware,2020-03-29,5,NA,5,2,1,NA,3,2,NA
District of Columbia,2020-03-29,0,NA,5,5,1,NA,3,2,NA
Florida,2020-03-29,NA,NA,0,0,1,NA,3,2,NA
Georgia,2020-03-29,2,NA,0,0,1,NA,2,2,NA
Hawaii,2020-03-29,5,NA,5,5,1,NA,3,2,NA
Idaho,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Illinois,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Indiana,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Iowa,2020-03-29,0,NA,0,5,1,NA,3,NA,NA
Kansas,2020-03-29,NA,NA,0,5,1,NA,2,2,NA
Kentucky,2020-03-29,0,NA,4,0,1,NA,3,2,NA
Louisiana,2020-03-29,5,NA,0,5,1,NA,3,2,NA
Maine,2020-03-29,0,NA,5,5,1,NA,3,NA,NA
Maryland,2020-03-29,0,NA,5,5,1,NA,3,2,NA
Massachusetts,2020-03-29,0,NA,5,5,1,NA,3,2,NA
Michigan,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Minnesota,2020-03-29,5,NA,0,0,1,NA,3,2,NA
Mississippi,2020-03-29,0,NA,0,5,1,NA,2,2,NA
Missouri,2020-03-29,0,NA,0,5,1,NA,3,2,NA
Montana,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Nebraska,2020-03-29,0,NA,0,0,1,NA,NA,0,NA
Nevada,2020-03-29,0,NA,5,5,1,NA,3,2,NA
New Hampshire,2020-03-29,5,NA,5,5,1,NA,3,2,NA
New Jersey,2020-03-29,5,NA,4,7,1,NA,3,2,NA
New Mexico,2020-03-29,0,NA,5,7,1,NA,2,2,NA
New York,2020-03-29,2,NA,5,7,1,NA,3,2,NA
North Carolina,2020-03-29,5,NA,5,5,1,NA,3,2,NA
North Dakota,2020-03-29,0,NA,0,0,1,NA,3,2,NA
Ohio,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Oklahoma,2020-03-29,2,NA,0,5,1,NA,NA,2,NA
Oregon,2020-03-29,5,NA,4,7,1,NA,3,2,NA
Pennsylvania,2020-03-29,NA,NA,5,0,1,NA,3,2,NA
Rhode Island,2020-03-29,NA,NA,0,5,1,NA,3,2,NA
South Carolina,2020-03-29,0,NA,0,2,1,NA,3,2,NA
South Dakota,2020-03-29,0,NA,0,5,1,NA,0,2,NA
Tennessee,2020-03-29,0,NA,0,5,1,NA,3,2,NA
Texas,2020-03-29,NA,NA,0,5,1,NA,3,2,NA
Utah,2020-03-29,0,NA,0,0,1,NA,3,2,NA
Vermont,2020-03-29,5,NA,5,5,1,NA,3,2,NA
Virginia,2020-03-29,0,NA,0,5,1,NA,3,2,NA
Washington,2020-03-29,5,NA,5,7,1,NA,3,2,NA
West Virginia,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Wisconsin,2020-03-29,5,NA,5,7,1,NA,3,2,NA
Wyoming,2020-03-29,0,NA,0,5,1,NA,3,2,NA
Alabama,2020-03-30,0,NA,0,5,1,0,3,2,NA
Alaska,2020-03-30,5,NA,5,7,1,5,3,2,NA
Arizona,2020-03-30,0,NA,0,0,1,0,3,2,NA
Arkansas,2020-03-30,0,NA,0,5,1,0,3,2,NA
California,2020-03-30,5,NA,5,7,1,0,3,2,NA
Colorado,2020-03-30,5,NA,5,7,1,0,3,2,NA
Connecticut,2020-03-30,0,NA,5,0,1,0,3,2,NA
Delaware,2020-03-30,5,NA,5,2,1,5,3,2,NA
District of Columbia,2020-03-30,0,NA,5,5,1,0,3,2,NA
Florida,2020-03-30,0,NA,0,0,1,4,3,2,NA
Georgia,2020-03-30,2,NA,0,0,1,0,2,2,NA
Hawaii,2020-03-30,5,NA,5,5,1,5,3,2,NA
Idaho,2020-03-30,5,NA,5,7,1,0,3,2,NA
Illinois,2020-03-30,5,NA,5,7,1,0,3,2,NA
Indiana,2020-03-30,5,NA,5,7,1,0,3,2,NA
Iowa,2020-03-30,0,NA,0,5,1,0,3,NA,NA
Kansas,2020-03-30,5,NA,5,5,1,4,2,2,NA
Kentucky,2020-03-30,0,NA,4,0,1,0,3,2,NA
Louisiana,2020-03-30,5,NA,0,5,1,0,3,2,NA
Maine,2020-03-30,0,NA,5,5,1,0,3,NA,NA
Maryland,2020-03-30,5,NA,5,5,1,5,3,2,NA
Massachusetts,2020-03-30,0,NA,5,5,1,5,3,2,NA
Michigan,2020-03-30,5,NA,5,7,1,0,3,2,NA
Minnesota,2020-03-30,5,NA,0,0,1,0,3,2,NA
Mississippi,2020-03-30,0,NA,0,5,1,0,2,2,NA
Missouri,2020-03-30,0,NA,0,5,1,0,3,2,NA
Montana,2020-03-30,5,NA,5,7,1,0,3,2,NA
Nebraska,2020-03-30,0,NA,0,0,1,0,NA,0,NA
Nevada,2020-03-30,0,NA,5,5,1,0,3,2,NA
New Hampshire,2020-03-30,5,NA,5,5,1,0,3,2,NA
New Jersey,2020-03-30,5,NA,4,7,1,0,3,2,NA
New Mexico,2020-03-30,0,NA,5,7,1,NA,2,2,NA
New York,2020-03-30,2,NA,5,7,1,0,3,2,NA
North Carolina,2020-03-30,5,NA,5,5,1,0,3,2,NA
North Dakota,2020-03-30,0,NA,0,0,1,0,3,2,NA
Ohio,2020-03-30,5,NA,5,7,1,0,3,2,NA
Oklahoma,2020-03-30,2,NA,0,5,1,0,NA,2,NA
Oregon,2020-03-30,5,NA,4,7,1,0,3,2,NA
Pennsylvania,2020-03-30,NA,NA,5,0,1,0,3,2,NA
Rhode Island,2020-03-30,5,NA,4,0,1,5,3,2,NA
South Carolina,2020-03-30,0,NA,0,2,1,0,3,2,NA
South Dakota,2020-03-30,0,NA,0,5,1,0,0,2,NA
Tennessee,2020-03-30,0,NA,0,5,1,0,3,2,NA
Texas,2020-03-30,0,NA,0,5,1,4,3,2,NA
Utah,2020-03-30,2,NA,0,0,1,5,3,2,NA
Vermont,2020-03-30,5,NA,5,5,1,5,3,2,NA
Virginia,2020-03-30,5,NA,0,5,1,0,3,2,NA
Washington,2020-03-30,5,NA,5,7,1,0,3,2,NA
West Virginia,2020-03-30,5,NA,5,7,1,0,3,2,NA
Wisconsin,2020-03-30,5,NA,5,7,1,0,3,2,NA
Wyoming,2020-03-30,0,NA,0,5,1,0,3,2,NA
Alabama,2020-03-31,0,NA,0,5,1,0,3,2,NA
Alaska,2020-03-31,5,NA,5,7,1,5,3,2,NA
Arizona,2020-03-31,0,NA,0,0,1,0,3,2,NA
Arkansas,2020-03-31,0,NA,0,5,1,0,3,2,NA
California,2020-03-31,5,NA,5,7,1,0,3,2,NA
Colorado,2020-03-31,5,NA,5,7,1,0,3,2,NA
Connecticut,2020-03-31,0,NA,5,0,1,0,3,2,NA
Delaware,2020-03-31,5,NA,5,2,1,5,3,2,NA
District of Columbia,2020-03-31,0,NA,5,5,1,0,3,2,NA
Florida,2020-03-31,0,NA,0,0,1,4,3,2,NA
Georgia,2020-03-31,2,NA,0,0,1,0,2,2,NA
Hawaii,2020-03-31,5,NA,5,5,1,5,3,2,NA
Idaho,2020-03-31,5,NA,5,7,1,0,3,2,NA
Illinois,2020-03-31,5,NA,5,7,1,0,3,2,NA
Indiana,2020-03-31,5,NA,5,7,1,0,3,2,NA
Iowa,2020-03-31,0,NA,0,5,1,0,3,NA,NA
Kansas,2020-03-31,5,NA,5,5,1,4,2,2,NA
Kentucky,2020-03-31,0,NA,4,0,1,0,3,2,NA
Louisiana,2020-03-31,5,NA,0,5,1,0,3,2,NA
Maine,2020-03-31,0,NA,5,5,1,0,3,NA,NA
Maryland,2020-03-31,5,NA,5,5,1,5,3,2,NA
Massachusetts,2020-03-31,0,NA,5,5,1,5,3,2,NA
Michigan,2020-03-31,5,NA,5,7,1,0,3,2,NA
Minnesota,2020-03-31,5,NA,0,0,1,0,3,2,NA
Mississippi,2020-03-31,0,NA,0,5,1,0,2,2,NA
Missouri,2020-03-31,0,NA,0,5,1,0,3,2,NA
Montana,2020-03-31,5,NA,5,7,1,0,3,2,NA
Nebraska,2020-03-31,0,NA,0,0,1,0,NA,0,NA
Nevada,2020-03-31,0,NA,5,5,1,0,3,2,NA
New Hampshire,2020-03-31,5,NA,5,5,1,0,3,2,NA
New Jersey,2020-03-31,5,NA,4,7,1,0,3,2,NA
New Mexico,2020-03-31,0,NA,5,7,1,NA,2,2,NA
New York,2020-03-31,2,NA,5,7,1,0,3,2,NA
North Carolina,2020-03-31,5,NA,5,5,1,0,3,2,NA
North Dakota,2020-03-31,0,NA,0,0,1,0,3,2,NA
Ohio,2020-03-31,5,NA,5,7,1,0,3,2,NA
Oklahoma,2020-03-31,2,NA,0,5,1,0,NA,2,NA
Oregon,2020-03-31,5,NA,4,7,1,0,3,2,NA
Pennsylvania,2020-03-31,NA,NA,5,0,1,0,3,2,NA
Rhode Island,2020-03-31,5,NA,4,0,1,5,3,2,NA
South Carolina,2020-03-31,0,NA,0,2,1,0,3,2,NA
South Dakota,2020-03-31,0,NA,0,5,1,0,0,2,NA
Tennessee,2020-03-31,0,NA,0,5,1,0,3,2,NA
Texas,2020-03-31,0,NA,0,5,1,4,3,2,NA
Utah,2020-03-31,2,NA,0,0,1,5,3,2,NA
Vermont,2020-03-31,5,NA,5,5,1,5,3,2,NA
Virginia,2020-03-31,5,NA,0,5,1,0,3,2,NA
Washington,2020-03-31,5,NA,5,7,1,0,3,2,NA
West Virginia,2020-03-31,5,NA,5,7,1,0,3,2,NA
Wisconsin,2020-03-31,5,NA,5,7,1,0,3,2,NA
Wyoming,2020-03-31,0,NA,0,5,1,0,3,2,NA
Alabama,2020-04-01,0,NA,0,5,1,0,3,2,NA
Alaska,2020-04-01,5,NA,5,7,1,5,3,2,NA
Arizona,2020-04-01,5,NA,5,5,1,0,3,2,NA
Arkansas,2020-04-01,0,NA,0,5,1,0,3,2,NA
California,2020-04-01,5,NA,5,7,1,0,3,2,NA
Colorado,2020-04-01,5,NA,5,7,1,0,3,2,NA
Connecticut,2020-04-01,0,NA,5,0,1,0,3,2,NA
Delaware,2020-04-01,5,NA,5,2,1,5,3,2,NA
District of Columbia,2020-04-01,5,NA,5,5,1,0,3,2,NA
Florida,2020-04-01,5,NA,5,0,1,4,3,2,NA
Georgia,2020-04-01,2,NA,0,0,1,0,2,2,NA
Hawaii,2020-04-01,5,NA,5,5,1,5,3,2,NA
Idaho,2020-04-01,5,NA,5,7,1,0,3,2,NA
Illinois,2020-04-01,5,NA,5,7,1,0,3,2,NA
Indiana,2020-04-01,5,NA,5,7,1,0,3,2,NA
Iowa,2020-04-01,0,NA,0,5,1,0,3,NA,NA
Kansas,2020-04-01,5,NA,5,5,1,4,2,2,NA
Kentucky,2020-04-01,0,NA,4,0,1,0,3,2,NA
Louisiana,2020-04-01,5,NA,0,5,1,0,3,2,NA
Maine,2020-04-01,5,NA,5,5,1,0,3,2,NA
Maryland,2020-04-01,5,NA,5,5,1,5,3,2,NA
Massachusetts,2020-04-01,0,NA,5,5,1,5,3,2,NA
Michigan,2020-04-01,5,NA,5,7,1,0,3,2,NA
Minnesota,2020-04-01,5,NA,0,0,1,0,3,2,NA
Mississippi,2020-04-01,NA,NA,0,5,1,0,2,2,NA
Missouri,2020-04-01,0,NA,0,5,1,0,3,2,NA
Montana,2020-04-01,5,NA,5,7,1,5,3,2,NA
Nebraska,2020-04-01,0,NA,0,0,1,0,2,0,NA
Nevada,2020-04-01,5,NA,5,5,1,0,3,2,NA
New Hampshire,2020-04-01,5,NA,5,5,1,0,3,2,NA
New Jersey,2020-04-01,5,NA,4,7,1,0,3,2,NA
New Mexico,2020-04-01,0,NA,5,7,1,NA,2,2,NA
New York,2020-04-01,2,NA,5,7,1,0,3,2,NA
North Carolina,2020-04-01,5,NA,5,5,1,0,3,2,NA
North Dakota,2020-04-01,0,NA,0,0,1,0,3,2,NA
Ohio,2020-04-01,5,NA,5,7,1,0,3,2,NA
Oklahoma,2020-04-01,2,NA,0,5,1,4,NA,2,NA
